Startzeit (s),Endzeit (s),LÃ¤nge (s)
0.0,2.84,2.84
2.84,6.32,3.4800000000000004
6.32,11.08,4.76
11.08,15.04,3.959999999999999
15.04,16.44,1.4000000000000021
16.44,17.92,1.4800000000000004
17.92,18.88,0.9599999999999973
18.88,20.32,1.4400000000000013
20.32,21.92,1.6000000000000014
21.92,23.4,1.4799999999999969
23.4,25.04,1.6400000000000006
25.04,26.84,1.8000000000000007
26.84,28.04,1.1999999999999993
28.04,29.36,1.3200000000000003
29.36,30.76,1.4000000000000021
30.76,32.12,1.3599999999999959
32.12,33.56,1.4400000000000048
33.56,34.6,1.0399999999999991
34.6,35.96,1.3599999999999994
35.96,37.28,1.3200000000000003
37.28,38.84,1.5600000000000023
38.84,41.2,2.3599999999999994
41.2,42.76,1.5599999999999952
42.76,44.0,1.240000000000002
44.0,45.4,1.3999999999999986
45.4,47.04,1.6400000000000006
47.04,48.6,1.5600000000000023
48.6,50.04,1.4399999999999977
50.04,51.64,1.6000000000000014
51.64,53.2,1.5600000000000023
53.2,55.16,1.9599999999999937
55.16,56.48,1.3200000000000003
56.48,57.6,1.1200000000000045
57.6,58.64,1.0399999999999991
58.64,60.36,1.7199999999999989
60.36,61.64,1.2800000000000011
61.64,63.08,1.4399999999999977
63.08,64.2,1.1200000000000045
64.2,65.36,1.1599999999999966
65.36,66.96,1.5999999999999943
66.96,68.16,1.2000000000000028
68.16,69.4,1.240000000000009
69.4,70.76,1.3599999999999994
70.76,71.84,1.0799999999999983
71.84,74.08,2.239999999999995
74.08,75.36,1.2800000000000011
75.36,76.32,0.9599999999999937
76.32,77.32,1.0
77.32,78.84,1.5200000000000102
78.84,80.0,1.1599999999999966
80.0,81.36,1.3599999999999994
81.36,82.92,1.5600000000000023
82.92,84.08,1.1599999999999966
84.08,85.48,1.4000000000000057
85.48,87.48,2.0
87.48,90.2,2.719999999999999
90.2,91.4,1.2000000000000028
91.4,92.76,1.3599999999999994
92.76,93.76,1.0
93.76,94.64,0.8799999999999955
94.64,95.64,1.0
95.64,96.84,1.2000000000000028
96.84,98.04,1.2000000000000028
98.04,98.96,0.9199999999999875
98.96,99.92,0.960000000000008
99.92,100.88,0.9599999999999937
100.88,101.92,1.0400000000000063
101.92,102.84,0.9200000000000017
102.84,103.8,0.9599999999999937
103.8,104.84,1.0400000000000063
104.84,105.76,0.9200000000000017
105.76,106.64,0.8799999999999955
106.64,107.36,0.7199999999999989
107.36,108.44,1.0799999999999983
108.44,109.44,1.0
109.44,110.52,1.0799999999999983
110.52,111.48,0.960000000000008
111.48,112.4,0.9200000000000017
112.4,113.76,1.3599999999999994
113.76,114.76,1.0
114.76,115.72,0.9599999999999937
115.72,117.76,2.0400000000000063
117.76,119.04,1.2800000000000011
119.04,120.64,1.5999999999999943
120.64,122.12,1.480000000000004
122.12,123.88,1.759999999999991
123.88,125.72,1.8400000000000034
125.72,127.8,2.0799999999999983
127.8,129.68,1.8800000000000097
129.68,131.52,1.8400000000000034
131.52,133.56,2.039999999999992
133.56,135.52,1.960000000000008
135.52,138.16,2.6399999999999864
138.16,154.28,16.120000000000005
